connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
cliff kincaid,doctors for disaster preparedness,americans survival,unconvinced of agw,usa,north america,,usa,north america,0,0
cliff kincaid,sovereignty international,americans survival,unconvinced of agw,usa,north america,,usa,north america,0,0
cliff ollier,principia scientific international,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
clint bolick,goldwater institute,americans future foundation,unconvinced of agw,usa,north america,,usa,north america,0,0
colin berry,american council on science and health,scientific alliance,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
colin berry,american council on science and health,campaign for fighting diseases,unconvinced of agw,usa,north america,,uk,europe,1,1
colin berry,american council on science and health,sense about science,unconvinced of agw,usa,north america,,uk,europe,1,1
colin berry,scientific alliance,campaign for fighting diseases,unconvinced of agw,uk,europe,,uk,europe,0,0
colin berry,scientific alliance,sense about science,unconvinced of agw,uk,europe,,uk,europe,0,0
colin berry,campaign for fighting diseases,sense about science,,uk,europe,,uk,europe,0,0
corrado clini,istituto bruno leoni,icrei,unconvinced of agw,italy,europe,,switzerland,europe,1,0
dan grossman,foundation for economic education,niskanen center,unconvinced of agw,usa,north america,convinced of agw,usa,north america,0,0
dan lips,goldwater institute,maryland public policy institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
daniel e. troy,center for medicine in the public interest,washington legal foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
daniel eisele,liberales institut,institut constant de rebecque,unconvinced of agw,switzerland,europe,,switzerland,europe,0,0
daniel hannan,bruges group,the freedom association,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
daniel hannan,bruges group,jerusalem institute for market studies,unconvinced of agw,uk,europe,unconvinced of agw,israel,asia,1,1
daniel hannan,the freedom association,jerusalem institute for market studies,unconvinced of agw,uk,europe,unconvinced of agw,israel,asia,1,1
daniel j. erspamer,americans for prosperity,state policy network,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
daniel r. simmons,american energy alliance,insitute for energy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
daniel simberloff,environmental literacy council,independent commission on environmental education,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
danielle beckett,ashbrook center for public affairs,buckeye institute for public policy solutions,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
darcy,campus reform,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david,federalist society for law and public policy studies,klima-initiative,unconvinced of agw,usa,north america,convinced of agw,germany,europe,1,1
david a. keene,american conservative union,the american conservative union foundation,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david a. noebel,council for national policy,john birch society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david archibald,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
david conway,ludwig von mises institute,civitas,unconvinced of agw,usa,north america,,uk,europe,1,1
david e. wojick,climate science coalition of america,greening earth society,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david evans,the galileo movement,clexit,unconvinced of agw,australia,oceania,unconvinced of agw,usa,north america,1,1
david fand,ludwig von mises institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
david fenner,council for national policy,leadership institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david flint,conservative action network,the galileo movement,unconvinced of agw,australia,oceania,unconvinced of agw,australia,oceania,0,0
david g. tuerck,beacon hill institute,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
david gergen,center for media and public affairs,statistical assessment service,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david gergen,center for media and public affairs,propublica,unconvinced of agw,usa,north america,,usa,north america,0,0
david gergen,statistical assessment service,propublica,unconvinced of agw,usa,north america,,usa,north america,0,0
david h. padden,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david henderson,frontier centre for public policy,institute of economic affairs,unconvinced of agw,canada,north america,unconvinced of agw,uk,europe,1,1
david henderson,frontier centre for public policy,scientific alliance,unconvinced of agw,canada,north america,unconvinced of agw,uk,europe,1,1
david henderson,frontier centre for public policy,ecipe,unconvinced of agw,canada,north america,,belgium,europe,1,1
david henderson,institute of economic affairs,scientific alliance,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
david henderson,institute of economic affairs,ecipe,unconvinced of agw,uk,europe,,belgium,europe,1,0
david henderson,scientific alliance,ecipe,unconvinced of agw,uk,europe,,belgium,europe,1,0
david m. stanley,national taxpayers union,public interest institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david mackinnon,frontier centre for public policy,atlantic institute for market studies,unconvinced of agw,canada,north america,,canada,north america,0,0
david myddelton,society for individual freedom,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
david r. brown,oklahoma council of public affairs,the liberty foundation of america,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david r. burton,institute for global economic growth,ludwig von mises institute,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david rothbard,global climate science communications team,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david rothbard,global climate science communications team,churches villages together,unconvinced of agw,usa,north america,,usa,north america,0,0
david rothbard,sovereignty international,churches villages together,unconvinced of agw,usa,north america,,usa,north america,0,0
david schmidtz,goldwater institute,institute for humane studies,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
david schnare,american tradition institute,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
david strom,claremont institute,taxpayers league of minnesota,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
davy dirix,murray rothbard instituut,european students for liberty,unconvinced of agw,belgium,europe,,europe,europe,1,0
deepak lal,campaign for fighting diseases,ecipe,,uk,europe,,belgium,europe,1,0
deepak lal,campaign for fighting diseases,liberty institute,,uk,europe,unconvinced of agw,india,asia,1,1
deepak lal,campaign for fighting diseases,mont pelerin society,,uk,europe,,global,global,1,1
deepak lal,ecipe,liberty institute,,belgium,europe,unconvinced of agw,india,asia,1,1
deepak lal,ecipe,mont pelerin society,,belgium,europe,,global,global,1,1
deepak lal,liberty institute,mont pelerin society,unconvinced of agw,india,asia,,global,global,1,1
dennis okeeffe,institute of economic affairs,civitas,unconvinced of agw,uk,europe,,uk,europe,0,0
dennis okeeffe,institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
dennis okeeffe,civitas,freedom organisation for the right to enjoy smoking tobacco,,uk,europe,,uk,europe,0,0
detmar doering,liberales institut,berlin manhattan institut für unternehmerische freiheit e.v.,unconvinced of agw,switzerland,europe,unconvinced of agw,germany,europe,1,0
detmar doering,liberales institut,ludwig von mises institute europe,unconvinced of agw,switzerland,europe,,belgium,europe,1,0
detmar doering,berlin manhattan institut für unternehmerische freiheit e.v.,ludwig von mises institute europe,unconvinced of agw,germany,europe,,belgium,europe,1,0
dick armey,citizens for a sound economy,freedomworks,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
dick cheney,center for security policy,center for the defense of free enterprise,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
dick taverne,american council on science and health,sense about science,unconvinced of agw,usa,north america,,uk,europe,1,1
dieter ameling,clexit,eike,unconvinced of agw,usa,north america,unconvinced of agw,germany,europe,1,1
digby anderson,arise,social affairs unit,,usa,north america,unconvinced of agw,uk,europe,1,1
dixy lee ray,"environmental conservation organization, inc.",freedom21,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
dominique lecourt,fondation pour linnovation politique,fondation ecologie davenir,,france,europe,,france,europe,0,0
don irvine,accuracy in media,american environmental coalition,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
don nickles,american council for capital formation,council for national policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
don soifer,illinois policy institute,lexington institute,unconvinced of agw,usa,north america,,usa,north america,0,0
